DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
44787243.0,Rosa Natalia Rojas Sánchez,2024-06-23,M,CALLAYUC,congestión nasal,Asma,Cutervo
36289451.0,Yolanda Pablo Cruz Paredes,1997-01-05,M,OTRO YAPANA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,,,Cutervo
24700278.0,Juan Pablo Paredes González,1988-10-13,M,CASERIO SANTA RITA,sensibilidad a la luz,Gastritis,Cutervo
99708854.0,Ángel Isabel Torres García,1997-07-16,F,CASERIO PACCHA,"micción frecuente, cansancio",Diabetes,Cutervo
72120611.0,Carmen Carolina Paredes Martínez,1990-12-22,F,OTRO LIMON NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"sibilancias, dificultad para respirar, opresión en el pecho",Asma,Cutervo
21922575.0,Rosa Eduardo García Castillo,1996-11-22,F,CASERIO TOCHEPAMPA,"fiebre, pérdida de olfato",COVID-19,Cutervo
71099037.0,Pedro Olga Paredes Delgado,2019-12-28,M,CHONTAS ALTAS,"acidez estomacal, dolor abdominal",Asma,Cutervo
42733299.0,Patricia Roberto Flores Vargas,1958-10-10,M,SANTA FE,"dolor abdominal, acidez estomacal",Alergia,Cutervo
54596894.0,Pedro Diego Silva Pérez,1959-07-13,F,CASERIO CUCHEA,dolor de cabeza,COVID-19,Cutervo
22754335.0,Miguel Gloria Mendoza Herrera,2001-08-18,M,CASERIO EL CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Cutervo
99220129.0,Ángel Claudia Rodríguez Mendoza,1975-10-01,F,,"dolor de garganta, fiebre",Gripe,Cutervo
97343601.0,José Natalia González Rodríguez,2001-01-09,F,OTRO. HUALANGO NRO. PUERTA SN PISO.01,"acidez estomacal, dolor abdominal, náuseas",Gastritis,Cutervo
24358115.0,Sandra Luisa Castillo Vargas,1982-04-01,F,,"mareos, dolor de cabeza",Alergia,Cutervo
21107782.0,Rosa Luisa González Rojas,1989-01-05,M,EL CUMBE,,,Cutervo
92501985.0,Carlos Roberto Rodríguez Rojas,1957-12-01,M,OTRO CAMINO AL PORVENIR SN   PISO 01,fiebre,,Cutervo
12674978.0,Juan Sara Rodríguez Flores,2013-02-08,M,EL CUMBE,"sed excesiva, cansancio",Diabetes,Cutervo
30803400.0,Carlos Gloria López Pérez,1962-02-22,F,CALLAYUC,"opresión en el pecho, dificultad para respirar",Migraña,Cutervo
83708170.0,Carmen Roberto Sánchez Flores,2009-01-22,F,CASERIO CHONTAS BAJAS,"congestión nasal, tos",Gripe,Cutervo
17934663.0,Rosa Gloria Herrera Gutiérrez,1976-08-02,F,EL CUMBE,"tos seca, dificultad para respirar",COVID-19,Cutervo
19829854.0,Carlos Natalia Rojas López,1977-03-18,F,CASERIO FLOR DEL LIRIO,tos,COVID-19,Cutervo
26347091.0,Ana Isabel Vargas García,1997-07-26,M,OTRO CHURAZ NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,micción frecuente,Gastritis,Cutervo
65825500.0,Ana Sara Rojas Cruz,2016-11-15,F,OTRO. HUABAL NRO. PUERTA SN PISO.01,ojos llorosos,Alergia,Cutervo
70296808.0,Juan Claudia Pérez Rojas,1983-01-07,M,OTRO UNION SAN JOSE NRO.SN BLOQUE. PISO.02 INTERIOR.  MZA.  LOTE.,"acidez estomacal, náuseas, dolor abdominal",Gastritis,Cutervo
58807691.0,Carmen Mónica Cruz Paredes,1994-11-17,F,OTRO A 20 MINUTOS DEL CASERIO SAN JOSE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  L,"dificultad para respirar, pérdida de olfato",Gastritis,Cutervo
43915486.0,José Mónica Gutiérrez Flores,2014-12-29,F,OTRO. VISTA ALEGRE NRO. PUERTA SN PISO.01,"cansancio, micción frecuente, sed excesiva",Diabetes,Cutervo
53619695.0,Yolanda Raúl García Mendoza,2020-11-16,M,OTRO LA JALCA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"tos seca, dificultad para respirar, pérdida de olfato",COVID-19,Cutervo
92626868.0,Jorge Eduardo Sánchez Rodríguez,1973-08-30,M,OTRO SECTOR LA PALMA SN   PISO 01,"congestión nasal, fiebre",Gripe,Cutervo
27712990.0,Patricia Sara Pérez López,1998-12-18,M,SAN JUAN BAUTISTA,"tos seca, dificultad para respirar",COVID-19,Cutervo
44486233.0,Marta Héctor López Paredes,1976-05-15,F,,"cansancio, sed excesiva",Diabetes,Cutervo
65944229.0,Luis Diego García Rojas,1984-10-11,F,YAPANA,,,Cutervo
65536791.0,Ángel Olga Vargas González,2018-06-30,F,OTRO. PINDOC NRO. PUERTA SN PISO.01,"cansancio, sed excesiva, micción frecuente",Diabetes,Cutervo
35025994.0,Miguel Isabel Vargas Pérez,2018-03-03,F,OTRO. SAN JOSE NRO. PUERTA SN PISO.01,,,Cutervo
98784200.0,Luis Olga Martínez Cruz,1961-09-30,M,YAPANA,"pérdida de olfato, fiebre, dificultad para respirar",COVID-19,Cutervo
43729138.0,Ana Castillo Martínez,1939-04-04,M,MERENDANA,"dificultad para respirar, tos seca, pérdida de olfato",COVID-19,Cutervo
51326528.0,María Claudia Vargas Martínez,1975-12-26,F,OTRO SAN JUAN BAUTISTA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,,Asma,Cutervo
32913987.0,Luis Gloria Castillo Ramírez,1994-04-04,F,OTRO FILADELFIA NRO.N BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"acidez estomacal, náuseas",Gastritis,Cutervo
69477191.0,Marta Raúl Gutiérrez González,1942-04-15,M,CASERIO BATANCILLO,"estornudos, ojos llorosos",Alergia,Cutervo
66590473.0,Carmen Sara Silva Paredes,1971-02-18,M,OTRO CAMINO A HUABAL SN   PISO 01,"sensibilidad a la luz, náuseas",Migraña,Cutervo
23685384.0,Miguel Sara Pérez Torres,1984-04-21,M,OTRO CAMINO LLANGUA SN   PISO 01,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
86064399.0,Luis Isabel Silva Cruz,1969-08-28,F,CALLAYUC,"picazón, ojos llorosos, estornudos",Alergia,Cutervo
73523291.0,Marta Isabel Castillo Mendoza,2008-03-16,M,CALLE COMERCIO S/N,,,Cutervo
31834011.0,Jesús Raúl Cruz López,1961-10-02,M,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,cansancio,Migraña,Cutervo
39471604.0,Ana Alberto Delgado Silva,1995-09-08,F,CASERIO SAN JOSE DE LIRIO,,,Cutervo
19275600.0,Verónica Pablo Herrera Silva,1971-02-25,M,CASERIO CUCHEA,"dolor abdominal, acidez estomacal",Migraña,Cutervo
21739662.0,Luis Diego Gutiérrez Delgado,1956-03-25,M,C.P.EL CUMBE,"dificultad para respirar, sibilancias, opresión en el pecho",Asma,Cutervo
21391854.0,Lucía Isabel Martínez Castillo,1953-12-22,M,SAN ANTONIO DE VILUCO,tos,Hipertensión,Cutervo
17232026.0,José Alberto González Vargas,1994-09-29,M,CASERIO CHURAZ,"dificultad para respirar, tos seca, pérdida de olfato",COVID-19,Cutervo
23881107.0,Jorge Héctor García Pérez,1997-09-05,M,OTRO. CAMINO A SADAMAYO NRO. PUERTA SN PISO.01,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Cutervo
56694799.0,José Marco Mendoza González,2005-04-19,M,CASERIO SAN JOSE,,,Cutervo
94969039.0,Ana Isabel Paredes Pérez,2017-05-19,M,OTRO. CUMBE NRO. PUERTA SN PISO.01,"dificultad para respirar, opresión en el pecho",Asma,Cutervo
11876431.0,Juan Mónica Cruz González,1991-09-09,M,LA LIBERTD,,,Cutervo
78543550.0,Jorge Isabel García Sánchez,1942-06-30,M,VILUCO,,Migraña,Cutervo
87986578.0,Lucía Carolina Flores González,2011-10-03,M,CASERIO SAN JOSE,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Cutervo
81679877.0,Ángel Flores Cruz,1989-12-21,M,EL CUMBE,"náuseas, dolor abdominal",Diabetes,Cutervo
19449323.0,María Raúl Vargas González,2013-06-11,M,CASERIO CHURAZ,"sensibilidad a la luz, náuseas",Migraña,Cutervo
41969934.0,Rosa Carolina Sánchez Gutiérrez,2022-03-15,F,CALLAYUC,fiebre,,Cutervo
59439240.0,Sandra Mónica Silva Paredes,1995-06-11,M,CASERIO CHONTAS BAJAS,"acidez estomacal, náuseas",Gastritis,Cutervo
21542149.0,Patricia Pablo Silva Flores,1976-05-01,M,CARR. SAN JOSE NRO. PUERTA SN PISO.02,"opresión en el pecho, sibilancias",Asma,Cutervo
18544432.0,Patricia Eduardo Pérez Rojas,1969-05-20,M,CHIPLE,"ojos llorosos, picazón, estornudos",Alergia,Cutervo
23954226.0,Fernando Isabel Vargas Silva,2015-06-17,F,SANTA RITA,"sensibilidad a la luz, náuseas",Migraña,Cutervo
85771804.0,Juan Pablo González García,2004-11-21,F,POSA SECA,"picazón, ojos llorosos, estornudos",Alergia,Cutervo
97176892.0,Lucía Gloria Cruz Paredes,2004-04-29,M,SAN JUAN BAUTISTA,"mareos, visión borrosa",Hipertensión,Cutervo
86982083.0,Jesús Pablo Delgado Flores,1992-12-04,M,EL CUMBE,,,Cutervo
15110822.0,Jesús Natalia López García,2008-07-27,F,EL CUMBE,fiebre,,Cutervo
19534747.0,Jesús Gloria Flores Gutiérrez,2022-09-27,F,CAS. FILADELFIA,acidez estomacal,Hipertensión,Cutervo
42594526.0,Carlos Pablo Pérez Gutiérrez,2022-05-01,F,CAS. CHONTAS,"dolor abdominal, náuseas, acidez estomacal",Gastritis,Cutervo
87838995.0,Juan David Vargas Mendoza,1981-05-03,M,EL CUMBE,fiebre,,Cutervo
23038148.0,Miguel Gloria Ramírez Pérez,2011-12-24,F,MERENDANA,"sibilancias, dificultad para respirar",Asma,Cutervo
82318508.0,Patricia Luisa Rodríguez Mendoza,1977-09-28,M,MERENDANA,"sed excesiva, micción frecuente",Diabetes,Cutervo
23449444.0,Sandra Mónica Torres Flores,1966-10-17,M,SAN ISIDRO,"visión borrosa, mareos",Asma,Cutervo
40049212.0,Ángel Carolina Vargas Pérez,1988-07-12,F,CASERIO SAN JOSE,"estornudos, picazón, ojos llorosos",Alergia,Cutervo
91075429.0,Ana David Herrera Silva,1998-04-28,F,,"picazón, estornudos, ojos llorosos",Alergia,Cutervo
47795127.0,Ana Eduardo Vargas Silva,2013-11-03,M,SANTA TERESA DE QUEROMARCA,,,Cutervo
28609409.0,Miguel David Sánchez Martínez,2021-12-11,F,CAS. EL SALLOF,"micción frecuente, cansancio",Diabetes,Cutervo
58956642.0,Verónica Roberto Flores González,2019-08-27,F,OTRO. ILUCAN NRO. PUERTA SN PISO.01,cansancio,COVID-19,Cutervo
11836873.0,Carlos Isabel Mendoza Flores,1978-05-13,M,LA PACCHA DE MIRAFLORES,dolor de garganta,Migraña,Cutervo
76626768.0,Carmen Eduardo Rodríguez García,2018-11-10,F,OTRO CHURAZ NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,fiebre,,Cutervo
47708626.0,Juan Carolina Gutiérrez Pérez,2011-01-28,M,LLANGUA,"cansancio, micción frecuente",Diabetes,Cutervo
44073155.0,Rosa David Flores Pérez,2008-03-31,F,SAN JUAN BAUTISTA,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Cutervo
92913524.0,Marta Olga Flores Paredes,2002-06-24,F,OTRO SAN JUAN DE CHORRILLOS NRO.SN BLOQUE. PISO.1 INTERIOR.  MZA.  LOTE. KM.,,,Cutervo
78899933.0,Miguel Natalia Castillo Pérez,2000-09-25,F,PUQUIO,,Migraña,Cutervo
50321094.0,Jesús Natalia Gutiérrez López,2012-05-30,F,YAPANA,"fiebre, pérdida de olfato, tos seca",COVID-19,Cutervo
56710674.0,Ángel Marco López Castillo,1972-12-15,M,CP.SECTOR EL CAMPO,"micción frecuente, cansancio",Alergia,Cutervo
45295442.0,Patricia Claudia Cruz Silva,2000-04-30,M,CHURAZ,opresión en el pecho,Hipertensión,Cutervo
97788803.0,Juan Luisa Castillo Herrera,2009-01-04,M,C.P.EL CUMBE,sensibilidad a la luz,Migraña,Cutervo
98011686.0,Ana Marco Silva Flores,2003-10-22,M,CALLAYUC,"acidez estomacal, dolor abdominal",Gastritis,Cutervo
64438037.0,Verónica Carolina Rojas González,1972-02-24,F,,picazón,Diabetes,Cutervo
92117281.0,Patricia Raúl Mendoza Ramírez,1968-06-12,M,,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Cutervo
73659027.0,Juan Eduardo Torres Castillo,1935-05-15,F,EL CUMBE,"cansancio, micción frecuente, sed excesiva",Diabetes,Cutervo
28658649.0,Yolanda Claudia Delgado García,2014-02-10,M,CASERIO SALLOF,,,Cutervo
17535131.0,Luis Mónica Cruz Paredes,2014-08-21,F,CHURAZ,fiebre,,Cutervo
69466995.0,Miguel Andrés Flores Gutiérrez,1966-08-02,M,JR. COMERCIO NRO. PUERTA SN PISO.01,"dificultad para respirar, fiebre, tos seca",COVID-19,Cutervo
13583772.0,Miguel Natalia García López,1988-01-12,M,,náuseas,Gastritis,Cutervo
21540855.0,Marta Eduardo Silva Castillo,2014-09-03,F,GRAMALOTILLO,"picazón, estornudos",Alergia,Cutervo
90049490.0,Fernando Laura Paredes Mendoza,1975-10-07,M,EL CUMBE,"fiebre, tos",Gripe,Cutervo
99115115.0,Pedro Andrés Flores Torres,1997-11-19,F,CHURAZ,"dificultad para respirar, pérdida de olfato",COVID-19,Cutervo
36741109.0,Jesús Marco Paredes Martínez,2012-04-03,F,CASERIO TOCHEPAMPA,"sed excesiva, cansancio",Diabetes,Cutervo
55648071.0,Jorge David González Vargas,1942-09-10,M,SAN ISIDRO,tos,,Cutervo
41133063.0,Rosa Isabel Mendoza Rojas,2014-08-26,F,CASERIO EL PORVENIR,dolor de garganta,Hipertensión,Cutervo
41680437.0,Verónica Marco Martínez Ramírez,2005-03-28,F,LA PACCHA MIRAFLORES,"dificultad para respirar, fiebre",COVID-19,Cutervo
33694112.0,Marta Andrés García Rodríguez,1955-10-09,F,SAN ISIDRO,"congestión nasal, fiebre, dolor de garganta",Gripe,Cutervo
84690122.0,Fernando Mónica Flores Mendoza,1995-06-13,M,OTRO. CUMBE NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,Cutervo
28229392.0,Jorge Héctor Martínez Ramírez,1998-04-10,M,,"sed excesiva, cansancio",Diabetes,Cutervo
94426573.0,Juan Alberto Rodríguez Martínez,2003-12-19,M,MERENDANA,"congestión nasal, tos",COVID-19,Cutervo
86200743.0,Ana Natalia García López,2022-11-10,M,CALLAYUC,"cansancio, micción frecuente",Gastritis,Cutervo
29854246.0,José Luisa Flores Martínez,2023-08-28,M,VILUCO NRO.SN BLOQUE,"dolor de cabeza, mareos",Hipertensión,Cutervo
64962983.0,Yolanda Andrés Silva García,1994-07-21,M,CARR. CARRETERA A SAN JUAN DE CHORRILLOS PISO.01,cansancio,Migraña,Cutervo
88061107.0,Yolanda Gloria Castillo Pérez,1990-09-29,M,OTRO. CHAQUIMAYO NRO. PUERTA SN PISO.01,"dolor de garganta, fiebre",Gripe,Cutervo
92575069.0,Juan David González Castillo,1987-05-17,F,OTRO. PAMPA EL CHINE NRO. PUERTA SN PISO.01,"estornudos, picazón, ojos llorosos",Alergia,Cutervo
44728743.0,Jesús Pablo Sánchez Ramírez,1986-01-21,M,CARR. CALLAYUC NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,,Asma,Cutervo
94394351.0,Sandra Roberto Sánchez Rodríguez,1960-07-22,M,CASERIO SAN JOSE,"dolor de cabeza, visión borrosa",Hipertensión,Cutervo
94501856.0,Jesús Carolina Mendoza Paredes,1994-12-26,M,OTRO. SECTOR SANTA ROSA NRO. PUERTA SN PISO.01,tos,,Cutervo
34228145.0,Rosa Marco Silva Flores,2009-06-22,M,CASERIO EL PUQUIO,"pérdida de olfato, tos seca",COVID-19,Cutervo
27719351.0,Luis Claudia Mendoza Silva,2011-12-23,F,EL CUMBE,"mareos, dolor de cabeza",Hipertensión,Cutervo
15250756.0,Miguel Alberto Paredes Sánchez,1994-09-22,F,,"picazón, ojos llorosos",Migraña,Cutervo
63040656.0,Luis Carolina Rojas Delgado,1941-08-23,F,OTRO. CHURAZ NRO. PUERTA SN PISO.01,,,Cutervo
36128775.0,Ángel Raúl Herrera Ramírez,2004-10-13,F,CUCHEA,"tos seca, fiebre",COVID-19,Cutervo
85793630.0,Luis Andrés López García,1958-07-17,M,EL CUMBE,"dificultad para respirar, opresión en el pecho",Asma,Cutervo
48743750.0,Ángel Gutiérrez Silva,2010-11-24,M,DISTRITO CALLAYUC,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Cutervo
88604347.0,Juan Eduardo Rojas Flores,1953-06-29,F,VISTA ALEGRE,,,Cutervo
59117038.0,Carmen Roberto Torres García,1970-02-12,F,UNION SAN JOSE,"dificultad para respirar, tos seca",COVID-19,Cutervo
98174329.0,Jesús Raúl Mendoza Silva,2006-04-02,F,OTRO SECTOR EL CAMPO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
56938867.0,Pedro Isabel Pérez Martínez,1971-03-29,M,EL SALLOC,dolor de cabeza,,Cutervo
93091927.0,María Sara Martínez Mendoza,1975-11-07,F,EL CUMBE,"dolor abdominal, náuseas, acidez estomacal",Gastritis,Cutervo
83341601.0,Jesús Raúl Martínez Gutiérrez,1997-10-10,M,CASERIO UNION SAN JOSE,cansancio,Gastritis,Cutervo
60990810.0,Jesús Mónica Castillo Rodríguez,2018-01-02,M,CARR. CALLAYUC NRO. PUERTA SN PISO.01,fiebre,,Cutervo
70894654.0,Carmen Gloria Herrera González,2022-02-13,M,CHURAZ,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Cutervo
27872388.0,Carlos Olga Cruz García,2007-03-19,M,EL CUMBE,"sibilancias, dificultad para respirar",Asma,Cutervo
96399470.0,Carlos David González Torres,2007-02-07,M,CHONTAS,"opresión en el pecho, dificultad para respirar",Asma,Cutervo
90003476.0,Fernando Rojas Ramírez,2018-05-30,M,OTRO. GRAMALOTILLO NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Alergia,Cutervo
69396167.0,Patricia Vargas Martínez,1961-09-29,M,FILADELFIA,"dificultad para respirar, opresión en el pecho",Asma,Cutervo
69017771.0,Luis Laura Flores Rodríguez,2004-09-02,M,CASERIO CHURAZ,"sed excesiva, cansancio",Diabetes,Cutervo
11796793.0,José Natalia Flores Cruz,1963-06-15,F,EL CUMBE,"sensibilidad a la luz, dolor de cabeza",Migraña,Cutervo
33399340.0,Pedro Laura González Martínez,2016-06-21,F,OTRO TOCHE PAMPA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"cansancio, sed excesiva",Migraña,Cutervo
52608013.0,Rosa Alberto Flores Herrera,2003-01-06,F,SAN JUAN BAUTISTA,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,Cutervo
39471195.0,Rosa Natalia Gutiérrez Flores,2020-07-17,M,CASERIO GRAMALOTILLO,"cansancio, sed excesiva",Diabetes,Cutervo
72008182.0,Rosa Natalia Delgado García,1983-07-15,F,CALLAYUC,,,Cutervo
38499582.0,Carlos Pérez Herrera,2012-06-13,F,SAN ISIDRO,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,Cutervo
73948013.0,Lucía Raúl Silva Sánchez,2005-04-02,M,CASERIO SAN ISIDRO,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Cutervo
80406570.0,María Isabel García Pérez,1990-03-06,F,CASERIO CUCHEA,"fiebre, dificultad para respirar",COVID-19,Cutervo
14543655.0,Luis Laura Delgado Flores,1997-10-15,F,OTRO. CASERIO SONDOR NRO. PUERTA SN PISO.01,"opresión en el pecho, dificultad para respirar, sibilancias",Asma,Cutervo
59931065.0,María Carolina Mendoza González,2020-12-28,M,CASERIO BATANCILLO,"ojos llorosos, picazón",Alergia,Cutervo
82063600.0,Patricia Pablo Paredes Silva,1974-02-28,F,CASERIO SAN JOSE FLOR DE LIRIO,"tos seca, pérdida de olfato",COVID-19,Cutervo
26657801.0,Rosa Eduardo Castillo Sánchez,1975-12-26,F,OTRO SAN JUAN BAUTISTA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,,Asma,Cutervo
86433411.0,Jesús Roberto Sánchez Pérez,1993-11-25,M,OTRO. COSTADO IGLESIA ADVENTIST NRO. PUERTA SN PISO.01,"sibilancias, opresión en el pecho",Asma,Cutervo
96213864.0,Carmen Pablo Martínez Silva,1972-04-30,F,C.P.EL CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Cutervo
40707083.0,Luis Castillo Cruz,1973-02-15,M,CASERIO SAN ISIDRO,,,Cutervo
14085123.0,Luis Mónica Cruz Sánchez,2021-05-04,M,CALLE TUPAC AMARU S/N,"pérdida de olfato, tos seca, dificultad para respirar",COVID-19,Cutervo
61938304.0,Rosa Carolina Silva Vargas,2006-12-09,F,SAN JOSE,"náuseas, sensibilidad a la luz",Migraña,Cutervo
71478542.0,Pedro Carolina Herrera Pérez,2004-08-16,M,CASERIO CHONTAS BAJAS,"sed excesiva, cansancio",Diabetes,Cutervo
16222262.0,María Claudia García López,2009-06-22,M,CASERIO EL PUQUIO,"pérdida de olfato, tos seca",COVID-19,Cutervo
84881164.0,Miguel Sara González Mendoza,1999-12-28,M,CASERIO AGUA DULCE,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
69733291.0,Pedro Andrés Pérez Flores,1980-09-18,M,OTRO. A 30MINUTOS DEL CASERIO NRO. PUERTA SN PISO.01,"mareos, dolor de cabeza, visión borrosa",Hipertensión,Cutervo
78201853.0,Juan Raúl González Castillo,2008-07-20,F,SAN JUAN DE CHORRILLOS,"dolor de garganta, congestión nasal",Hipertensión,Cutervo
18974207.0,Luis Diego Martínez Paredes,2015-02-19,F,CASERIO LLANGUA,,Alergia,Cutervo
14468433.0,Lucía Gloria Ramírez Martínez,1996-10-22,F,OTRO. SAN ISIDRO NRO. PUERTA SN PISO.01,,,Cutervo
15398485.0,Luis Pablo Rodríguez García,2001-10-28,M,EL CUMBE,"estornudos, picazón, ojos llorosos",Alergia,Cutervo
84944688.0,Miguel Marco González Mendoza,2001-01-06,M,EL CUMBE,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
81100664.0,Yolanda Diego Paredes Cruz,2003-11-20,M,CHURAZ,tos,,Cutervo
29035709.0,Pedro Alberto Mendoza Torres,1978-01-07,F,,"estornudos, picazón",Alergia,Cutervo
15708463.0,Jorge López Delgado,2016-06-11,F,SAENZ PEÑA SN,,,Cutervo
66572595.0,Pedro Eduardo Torres Cruz,2014-04-20,M,CASERIO YAPANA,"ojos llorosos, estornudos, picazón",Alergia,Cutervo
46125066.0,Marta Isabel Herrera Rodríguez,1986-06-10,F,OTRO CASERIO EL PUQUIO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,dolor de cabeza,,Cutervo
45487180.0,Fernando García Pérez,1956-03-30,M,OTRO UNION SAN JOSE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,tos,Asma,Cutervo
18210096.0,Carmen Natalia Mendoza Flores,1994-06-21,M,OTRO. CAMINO A NUEVO HUALLAQUIL NRO. PUERTA SN PISO.01,"dolor abdominal, náuseas, acidez estomacal",Gastritis,Cutervo
95512397.0,Patricia Héctor Herrera Pérez,1952-07-28,F,CASERIO SAN ISIDRO,"fiebre, dolor de garganta",Gripe,Cutervo
18365341.0,Marta Alberto Vargas Paredes,2002-08-16,M,,"ojos llorosos, picazón",Gastritis,Cutervo
89424621.0,Jesús Carolina Ramírez Vargas,2003-09-10,F,CASERIO MERENDANA,"ojos llorosos, picazón, estornudos",Alergia,Cutervo
60604240.0,Yolanda Raúl Torres López,1954-07-11,M,VILUCO,,Migraña,Cutervo
